Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,quarterly_raw_eps,quarterly_diluted_eps,annual_raw_eps,annual_diluted_eps
JBL,10-Q (Quarterly report),2024-04-05,2024-02-29,https://www.sec.gov/Archives/edgar/data/898293/000162828024014951/jbl-20240229.htm,,,,,,
JBL,10-Q (Quarterly report),2024-01-09,2023-11-30,https://www.sec.gov/Archives/edgar/data/898293/000119312524004852/d57908d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2023-06-30,2023-05-31,https://www.sec.gov/Archives/edgar/data/898293/000119312523179422/d508558d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2023-04-05,2023-02-28,https://www.sec.gov/Archives/edgar/data/898293/000119312523091542/d391318d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2023-01-06,2022-11-30,https://www.sec.gov/Archives/edgar/data/898293/000119312523003543/d415236d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2022-07-01,2022-05-31,https://www.sec.gov/Archives/edgar/data/898293/000119312522186715/d193672d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2022-04-01,2022-02-28,https://www.sec.gov/Archives/edgar/data/898293/000119312522092806/d298775d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2022-01-07,2021-11-30,https://www.sec.gov/Archives/edgar/data/898293/000119312522004029/d217432d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2021-07-02,2021-05-31,https://www.sec.gov/Archives/edgar/data/898293/000119312521207682/d173210d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2021-04-02,2021-02-28,https://www.sec.gov/Archives/edgar/data/898293/000119312521104662/d167671d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2021-01-08,2020-11-30,https://www.sec.gov/Archives/edgar/data/898293/000119312521004678/d84612d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2020-06-29,2020-05-31,https://www.sec.gov/Archives/edgar/data/898293/000119312520183269/d919701d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2020-04-01,2020-02-29,https://www.sec.gov/Archives/edgar/data/898293/000119312520094625/d767853d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2020-01-03,2019-11-30,https://www.sec.gov/Archives/edgar/data/898293/000119312520001434/d852870d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2019-06-28,2019-05-31,https://www.sec.gov/Archives/edgar/data/898293/000119312519186025/d747413d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2019-04-04,2019-02-28,https://www.sec.gov/Archives/edgar/data/898293/000119312519097892/d709195d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2019-01-09,2018-11-30,https://www.sec.gov/Archives/edgar/data/898293/000119312519005404/d663336d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2018-06-28,2018-05-31,https://www.sec.gov/Archives/edgar/data/898293/000119312518207639/d557563d10q.htm,,,,,,
JBL,10-Q (Quarterly report),2018-04-05,2018-02-28,https://www.sec.gov/Archives/edgar/data/898293/000119312518108777/d558490d10q.htm,,,,,,
