Date,Ticker,Real_Label,Misclassification_Type,Times_Correctly_Identified,Times_Misclassified,Mean_Attention_Entropy,Fact_Count,Unique_Clusters,Normalized_Entropy
2022-12-31,HAS,0,,32,0,2.332966,55,9,0.582174
2017-03-31,JPM,0,,32,0,3.012402,231,15,0.553504
2016-06-30,MSFT,0,,32,0,2.927065,107,12,0.626401
2016-12-31,CME,0,,32,0,2.406562,39,14,0.656891
2023-12-31,ADBE,0,,32,0,3.057489,317,11,0.530915
2021-03-31,ACN,0,,32,0,2.559464,49,8,0.657652
2023-06-30,BEN,0,,32,0,2.057946,41,14,0.554169
2023-12-31,LULU,0,,32,0,2.635158,47,9,0.68443
2023-12-31,MET,0,,32,0,2.596318,37,14,0.719019
2023-12-31,MAR,0,,32,0,2.10154,36,7,0.586446
2021-09-30,V,0,,32,0,2.607229,36,17,0.727561
2018-06-30,TSLA,0,,32,0,2.814217,66,16,0.671706
2017-06-30,MCD,0,,32,0,2.958008,84,14,0.667599
2022-03-31,V,0,,32,0,2.752554,46,11,0.718938
2023-03-31,ADBE,0,,32,0,3.089983,186,11,0.5913
2022-09-30,CINF,0,,32,0,2.144569,35,8,0.603195
2020-06-30,HPQ,0,,32,0,2.621302,61,17,0.637651
2022-06-30,HPQ,0,,32,0,2.744992,154,7,0.544971
2018-03-31,ALL,0,,32,0,2.243013,36,12,0.625925
2017-06-30,DPZ,0,,32,0,2.808,73,16,0.654475
2017-09-30,GLW,0,,32,0,2.82689,44,13,0.747027
2022-06-30,MA,0,,32,0,2.838586,45,14,0.745689
2018-12-31,KKR,0,,32,0,2.923674,54,10,0.732937
2021-12-31,C,0,,32,0,2.580957,54,12,0.647021
2023-09-30,APTV,0,,32,0,2.767514,105,10,0.594658
2022-12-31,BX,0,,32,0,2.929825,124,12,0.607812
2021-06-30,DPZ,0,,32,0,2.724638,44,15,0.720006
2022-06-30,ORCL,0,,32,0,2.863581,57,11,0.708272
2017-09-30,AON,0,,32,0,2.515692,35,11,0.70758
2021-03-31,MA,0,,32,0,2.991718,63,14,0.72209
2021-03-31,MSFT,0,,32,0,2.972852,202,9,0.560042
2016-09-30,MCD,0,,32,0,2.827339,61,12,0.687771
2017-06-30,IBM,0,,32,0,2.916681,112,12,0.618137
2015-12-31,ADBE,0,,32,0,2.727765,52,12,0.690356
